race,age,homicides,population,homicide_rate,police_shootings,police_shootings_rate
Am Indian/AK Native,0-4,1,201765,0.5,,
Am Indian/AK Native,14-Oct,3,206695,1.45,1,0.48
Am Indian/AK Native,15-19,11,211564,5.2,2,0.95
Am Indian/AK Native,20-24,19,230933,8.23,1,0.43
Am Indian/AK Native,25-29,18,199331,9.03,2,1
Am Indian/AK Native,30-34,18,181999,9.89,2,1.1
Am Indian/AK Native,35-39,13,162406,8,,
Am Indian/AK Native,40-44,7,162804,4.3,1,0.61
Am Indian/AK Native,45-49,8,166598,4.8,,
Am Indian/AK Native,9-May,1,207519,0.48,,
Am Indian/AK Native,50-54,7,182317,3.84,,
Am Indian/AK Native,55-59,2,166138,1.2,,
Am Indian/AK Native,60-64,2,132552,1.51,,
Am Indian/AK Native,65-69,0,99557,0,,
Am Indian/AK Native,70-74,1,65480,1.53,,
Am Indian/AK Native,75-79,1,42188,2.37,,
Am Indian/AK Native,80-84,1,25215,3.97,,
Am Indian/AK Native,85+,0,22236,0,,
Am Indian/AK Native,Total,113,2667297,4.24,9,0.34
Asian/Pac Islander,0-4,1,1133472,0.09,,
Asian/Pac Islander,14-Oct,0,1141265,0,,
Asian/Pac Islander,15-19,11,1134108,0.97,,
Asian/Pac Islander,20-24,24,1375244,1.75,3,0.22
Asian/Pac Islander,25-29,21,1546805,1.36,2,0.13
Asian/Pac Islander,30-34,14,1573569,0.89,4,0.25
Asian/Pac Islander,35-39,15,1475978,1.02,1,0.07
Asian/Pac Islander,40-44,20,1478112,1.35,,
Asian/Pac Islander,45-49,16,1280476,1.25,1,0.08
Asian/Pac Islander,9-May,3,1148924,0.26,,
Asian/Pac Islander,50-54,16,1197461,1.34,1,0.08
Asian/Pac Islander,55-59,10,1072523,0.93,1,0.09
Asian/Pac Islander,60-64,3,907487,0.33,,
Asian/Pac Islander,65-69,3,704062,0.43,,
Asian/Pac Islander,70-74,5,485015,1.03,,
Asian/Pac Islander,75-79,0,341230,0,,
Asian/Pac Islander,80-84,1,227487,0.44,,
Asian/Pac Islander,85+,1,213690,0.47,,
Asian/Pac Islander,Total,164,18436908,0.89,14,0.08
Black,0-4,21,3047875,0.69,,
Black,14-Oct,49,3090084,1.59,21,0.68
Black,15-19,812,3214143,25.26,48,1.49
Black,20-24,1605,3612313,44.43,60,1.66
Black,25-29,1209,3088078,39.15,41,1.33
Black,30-34,830,2846712,29.16,33,1.16
Black,35-39,589,2605387,22.61,18,0.69
Black,40-44,369,2653487,13.91,13,0.49
Black,45-49,262,2649602,9.89,8,0.3
Black,9-May,21,3107519,0.68,,
Black,50-54,181,2770106,6.53,6,0.22
Black,55-59,123,2536086,4.85,4,0.16
Black,60-64,56,2019447,2.77,1,0.05
Black,65-69,42,1470644,2.86,1,0.07
Black,70-74,16,998658,1.6,1,0.1
Black,75-79,8,695118,1.15,,
Black,80-84,5,461199,1.08,,
Black,85+,5,450061,1.11,,
Black,Total,6203,41316519,15.01,258,0.62
Hispanic,0-4,12,5131170,0.23,,
Hispanic,14-Oct,20,4846844,0.41,9,0.19
Hispanic,15-19,263,4641739,5.67,27,0.58
Hispanic,20-24,416,4777102,8.71,38,0.8
Hispanic,25-29,275,4447816,6.18,26,0.58
Hispanic,30-34,236,4433541,5.32,27,0.61
Hispanic,35-39,184,4134089,4.45,17,0.41
Hispanic,40-44,129,3858656,3.34,13,0.34
Hispanic,45-49,71,3390056,2.09,7,0.21
Hispanic,9-May,11,5180970,0.21,,
Hispanic,50-54,67,2940650,2.28,6,0.2
Hispanic,55-59,26,2323993,1.12,,
Hispanic,60-64,11,1729566,0.64,1,0.06
Hispanic,65-69,5,1267744,0.39,,
Hispanic,70-74,4,861832,0.46,,
Hispanic,75-79,1,616759,0.16,,
Hispanic,80-84,0,417967,0,,
Hispanic,85+,1,387045,0.26,,
Hispanic,Total,1732,55387539,3.13,172,0.31
White,0-4,17,10362601,0.16,1,0.01
White,14-Oct,42,11386618,0.37,20,0.18
White,15-19,129,11866093,1.09,48,0.4
White,20-24,286,12916582,2.21,61,0.47
White,25-29,323,12705908,2.54,71,0.56
White,30-34,308,12492745,2.47,59,0.47
White,35-39,231,11543790,2,42,0.36
White,40-44,274,12438424,2.2,70,0.56
White,45-49,269,13401310,2.01,47,0.35
White,9-May,22,10874634,0.2,,
White,50-54,228,15480275,1.47,35,0.23
White,55-59,174,15412709,1.13,22,0.14
White,60-64,124,13777080,0.9,9,0.07
White,65-69,95,11783259,0.81,3,0.03
White,70-74,61,8662039,0.7,3,0.03
White,75-79,46,6227029,0.74,1,0.02
White,80-84,37,4628498,0.8,,
White,85+,27,5089199,0.53,,
White,Total,2694,201048793,1.34,495,0.25
